Player,Team,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
DeMar DeRozan, TOR,80,33.9,0.555,18.5,7.8,29,2.5,10.4,6.5,21.1,429,14.3
David West, GS,73,13.7,0.6,21.9,12.7,21.1,7.7,18.2,13.3,21.01,141.8,4.7
Rudy Gobert, UTAH,56,32.4,0.657,10.5,14,15.9,10.4,27,18.8,20.71,274.1,9.1
Steven Adams, OKC,76,32.7,0.63,8.4,12.1,16,16.6,13.9,15.3,20.69,374.5,12.5
Kemba Walker, CHA,80,34.2,0.572,20.5,8.2,27.1,1.2,8.7,4.9,20.62,392.9,13.1
Dwight Howard, CHA,81,30.4,0.577,7.1,14.1,22.7,11,33.8,22.2,20.56,366.1,12.2
Kristaps Porzingis, NY,48,32.4,0.539,4.9,8,29,4.4,18.1,11.3,20.42,206.9,6.9
Lou Williams, LAC,79,32.8,0.574,18.9,10.6,29.3,1.7,6.6,4.2,20.29,378.3,12.6
Larry Nance Jr., CLE/LAL,66,21.5,0.605,13.5,8.4,16,12.4,22,17.2,20.18,184.2,6.1
DeAndre Jordan, LAC,77,31.5,0.648,12.1,14.1,14.5,15.1,37.6,26.5,20.17,346.3,11.5
Ben Simmons, PHI,81,33.7,0.557,31.7,13.3,23.5,5.9,19.5,13,20.03,368.4,12.3
Kyle O'Quinn, NY,77,18,0.625,22.6,14.3,17.2,9.7,27.8,18.8,20.01,194.6,6.5
Julius Randle, LAL,82,26.7,0.606,13.9,14.1,24.3,8.9,22.8,15.9,19.96,276.5,9.2
Eric Bledsoe, MIL/PHX,74,31.4,0.582,21.6,12.6,25.5,2.6,11.7,7.1,19.79,304.8,10.2
Nikola Vucevic, ORL,57,29.5,0.533,16.2,9.2,24.9,6.6,27.8,17.1,19.79,230.8,7.7
Bobby Portis, CHI,73,22.5,0.548,11.1,9.3,24.7,10,23,16.3,19.78,202.9,6.8
Blake Griffin, DET/LAC,58,34,0.544,20.4,10.1,28.5,4.1,19.9,12,19.65,239.8,8
Kyle Lowry, TOR,78,32.2,0.598,30.2,10.3,22.6,3,16.1,9.7,19.53,319.4,10.6
Alex Len, PHX,69,20.2,0.612,12.8,12.2,16.3,13.2,26.7,19.8,19.37,182.6,6.1
Jusuf Nurkic, POR,79,26.4,0.528,10.2,13.1,25.1,10,26.9,18.5,19.28,270.3,9
John Wall, WSH,41,34.4,0.515,29.7,11.9,30.3,1.8,10.2,6,19.2,172.5,5.8
Pau Gasol, SA,77,23.5,0.539,22.3,10.1,20.5,7.8,30.2,19,18.98,226.5,7.6
