Year,Player,Position,PosNum,Salary
2017,Lance Thomas,Small Forward,3,"$6,655,325"
2017,Ed Davis,Power Forward,4,"$6,352,531"
2017,Jonathon Simmons,Small Forward,3,"$6,300,000"
2017,Lonzo Ball,Point Guard,1,"$6,286,560"
2017,Wayne Ellington,Shooting Guard,2,"$6,270,000"
2017,Isaiah Thomas,Point Guard,1,"$6,261,395"
2017,Karl-Anthony Towns,Center,5,"$6,216,840"
2017,Ben Simmons,Point Guard,1,"$6,168,840"
2017,Joel Embiid,Center,5,"$6,100,266"
2017,Alan Williams,Power Forward,4,"$6,000,000"
2017,Tyler Johnson,Shooting Guard,2,"$5,881,260"
2017,Alex Abrines,Shooting Guard,2,"$5,725,000"
2017,Jayson Tatum,Small Forward,3,"$5,645,400"
2017,D'Angelo Russell,Point Guard,1,"$5,562,360"
2017,Brandon Ingram,Small Forward,3,"$5,519,400"
2017,Patrick Beverley,Point Guard,1,"$5,513,513"
2017,Aaron Gordon,Power Forward,4,"$5,504,420"
2017,Thabo Sefolosha,Small Forward,3,"$5,250,000"
2017,Jason Smith,Power Forward,4,"$5,225,000"
